aep,Is_holiday1,Is_holiday2,Is_Weekend1,Is_Weekend2,sin_month,cos_month,sin_week,cos_week,sin_hour,cos_hour,sin_wintert,cos_wintert,sin_springt,cos_springt,sin_summert,cos_summert,sin_fallt,cos_fallt,sin_year_dayt ,cos_year_dayt 
0.12244897959183676,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9973249731081555,0.07309512989807776
0.13540777527741132,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.9659258262890683,0.25881904510252074,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9973249731081555,0.07309512989807776
0.20284007138977267,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9973249731081555,0.07309512989807776
0.32536664856056496,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9973249731081555,0.07309512989807776
0.4031194226740126,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9973249731081555,0.07309512989807776
0.41724218204392016,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9973249731081555,0.07309512989807776
0.43555521067742686,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9973249731081555,0.07309512989807776
0.4533250562582448,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.258819045102521,-0.9659258262890682,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9973249731081555,0.07309512989807776
0.4618607899433539,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9973249731081555,0.07309512989807776
0.4650422906805308,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.2588190451025208,-0.9659258262890683,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9973249731081555,0.07309512989807776
0.4759835493132615,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9973249731081555,0.07309512989807776
0.4716380848917513,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9973249731081555,0.07309512989807776
0.46713742531233027,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9973249731081555,0.07309512989807776
0.4615503996275315,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9973249731081555,0.07309512989807776
0.44789322573135715,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9973249731081555,0.07309512989807776
0.4422286024676031,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9973249731081555,0.07309512989807776
0.48428649026150394,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9973249731081555,0.07309512989807776
